region,samples_received,samples_testable,samples_tested,samples_in_progress
AMAZONAS,9,2,0,2
ANTIOQUIA,656,139,94,45
ARAUCA,91,17,12,5
ATLANTICO,513,136,71,65
BOGOTA,32,11,2,9
BOLIVAR,568,215,183,32
BOYACA,153,71,49,22
CALDAS,112,44,39,5
CAQUETA,50,22,5,17
CASANARE,43,19,10,9
CAUCA,17,11,4,7
CESAR,104,39,20,19
CHOCO,7,4,2,2
CORDOBA,209,48,20,28
CUNDINAMARCA,925,167,91,76
GUAINIA,4,4,4,0
GUAVIARE,48,1,1,0
HUILA,719,249,80,169
LA GUAJIRA,84,28,12,16
MAGDALENA,571,152,70,82
META,50,17,6,11
NARIÑO,52,17,8,9
NORTE DE SANTANDER,1767,746,378,368
PUTUMAYO,165,63,50,13
QUINDIO,10,5,1,4
RISARALDA,165,66,55,11
SAN ANDRES,124,103,95,8
SANTANDER,155,44,22,22
SUCRE,245,84,55,29
TOLIMA,673,207,141,66
VALLE DEL CAUCA,98,26,9,17
VAUPES,0,0,0,0
VICHADA,4,3,3,0
IMPORTADOS,6,3,1,2
SIN DATO,145,4,2,2
